CCS,Coal(KG/T),Bentonite(KG/T),Furnance oil(LITR/T),i/m speed (m/min),Total Bed height (mm),lime + Coal(%),T1,T2,T3,T4,T5,T6,T7,T8,production quantity,Tumble Index%,Abration Index%,Mean Dia(mm),Porosity Pellet%,Input Fe( Raw material)%,Output Fe(Pellets)%
177,12.71,3.95,15,2.87,498,3.3,900,1050,1150,1220,1280,1280,1280,950,12665,92.78,5.39,11.71,24.19,61.85,62.78
178,13.93,4.98,15,2.93,517.5,3.5,900,1050,1150,1250,1300,1300,1280,1200,12058,92.93,5.06,11.74,24.11,61.68,62.65
179,14.98,4.48,14,3.043333333,513.3333333,3.566666667,900,1040,1160,1260,1300,1280,1280,1093.333333,12285,92.18,5.86,12,24.41,62,62.79
179,12.72,3.95,15,3.003333333,510.6666667,3.233333333,900,1050,1150,1220,1280,1280,1280,950,12420,92.87,5.33,11.83,24.02,61.88,62.69
181,14.29,6.29,12,2.996666667,514,2.8,900,1000,1100,1260,1200,1200,1180,1180,12875,93.5,4.82,12.5,23.56,62.94,63.82
181,14.05,4.82,15,2.936666667,508.1666667,3.5,906.6666667,1050,1183.333333,1250,1300,1300,1280,1200,12030,92.92,5.23,11.82,23.77,61.78,62.78
182,14.92,3.9,14,3.046666667,495,3.133333333,900,1030,1150,1220,1280,1280,1280,1033.333333,12065,92.79,5.25,11.74,24.02,61.68,62.22
182,14.23,4.17,13.07,2.913333333,448.8333333,3.5,910,1010,1120,1170,1260,1200,1200,1140,10540,93.14,5.32,12.18,24.01,62.03,62.94
182,13.97,4.99,15,2.55,510,3.5,900,1050,1150,1250,1300,1300,1280,1150,12030,92.86,5.16,11.77,24.31,61.61,62.56
182,13.94,4.98,15.21,2.773333333,457.8333333,3.3,910,1010,1120,1170,1260,1200,1200,1150,10045,92.62,5.45,12.4,24.14,61.56,62.62
182,13.51,5.72,11.99,3.06,505.6666667,3.2,900,1000,1180,1180,1260,1200,1200,1240,13105,93.37,4.76,12.38,24.25,62.88,63.51
182,12.99,3.95,14,2.876666667,513,3.5,900,1050,1150,1250,1300,1300,1280,1016.666667,12395,92.94,5.1,11.77,24.16,61.75,62.69
182,12.85,3.98,16,2.843333333,494.6666667,3.5,900,1050,1150,1250,1300,1300,1280,1066.666667,12065,92.81,5.26,11.66,24.24,61.69,62.54
182,12.63,4.83,13.05,3,503,3.3,900,1000,1100,1180,1260,1200,1200,1120,12830,92.95,5.39,12.32,23.82,62.82,63.53
183,14.99,4,14,3.05,487,3.366666667,900,1016.666667,1146.666667,1240,1286.666667,1273.333333,1280,916.6666667,11005,92.89,5.46,11.64,24.3,61.8,62.4
183,14,4.81,15,2.85,514.5,3.466666667,910,1050,1200,1250,1300,1300,1280,1200,11215,92.95,5.1,11.82,24.12,61.81,62.65
183,13.29,5.29,14.82,2.716666667,470,3.5,910,1010,1120,1170,1260,1200,1200,1170,10010,93.31,4.91,12.35,24.01,62.02,62.98
183,13.22,4.3,12.41,3.026666667,517.5,3.3,900,1000,1120,1180,1260,1200,1200,1133.333333,13010,92.49,5.6,12.39,24.02,62.81,63.51
183,12.88,3.91,16,2.943333333,484,3.3,900,1050,1150,1220,1280,1280,1270,950,12265,93.04,5.04,11.84,23.92,61.91,62.87
183,12.09,6.24,12,3.06,507,2.9,900,1000,1100,1180,1260,1200,1200,1180,12990,93.52,4.71,12.31,23.63,62.89,63.64
184,14.93,3.94,15,3.09,478.8333333,3.516666667,900,1020,1150,1230,1280,1250,1250,910,11925,92.43,5.65,12.16,24.29,61.98,62.32
184,14.8,4.07,13.01,2.8,483.3333333,3.5,910,1010,1120,1170,1260,1200,1200,1140,10070,93.21,5.38,12.3,24.12,62.14,62.99
184,13,3.95,15,2.953333333,511.6666667,3.5,900,1050,1150,1250,1300,1300,1280,1050,12165,93.11,5.22,11.72,24.07,61.79,62.56
