date,CCS,Coal(KG/T),Bentonite(KG/T),Organic binder(KG,Furnance oil(LITR/T),i/m speed (m/min),Total Bed height (mm),lime + Coal(%),T1,T2,T3,T4,T5,T6,T7,T8,Fixed Carbon of Coal (%),production quantity,Tumble Index%,Abration Index%,Mean Dia(mm),Porosity Pellet%,Input Fe( Raw material)%,Output Fe(Pellets)%
6/30/2023,198,13.27,3.89,475,14.19,3.22,511.3333333,3.133333333,915,1025,1145,1155,1260,1160,1200,1203.333333,73.53,11305,93.51,5,12.4,23.96,62.54,63.1
6/29/2023,192,13.25,3.99,385,13.95,4.04,508,2.966666667,900,1000,1143.333333,1138.333333,1275,1106.666667,1200,1455,70.95,11775,93.14,5.23,12.37,24.32,62.43,63.21
6/28/2023,192,13.53,3.8,345,14.76,2.786666667,510,3.166666667,900,1000,1133.333333,1153.333333,1270,1146.666667,1200,1340,71.78,12120,93.1,5.14,12.39,23.65,62.55,63.39
7/22/2023,197,13.1,4,800,14.48,3.05,500,2.7,950,1080,980,1170,1340,1220,1210,1340,72.34,12515,93.67,4.69,12.27,23.48,61.96,63.03
7/23/2023,196,12.74,4.09,800,15,2.733333333,487,3.5,926,1026,1130,1155,1264,1190,1213,1302,76.97,12480,93.54,4.62,12.01,23.42,62.18,63.25
09-12-2023,189,12.1,6.09,804.4930807,13.66,3.153333333,505,3.4,930,1040,1150,1250,1300,1300,1300,1300,83.49,13145,93.35,4.79,12.37,23.31,62.14,63.21
07-10-2023,203,11.89,4.02,650,16.19,2.94,500,2.666666667,950,1050,1150,1170,1300,1210,1210,1250,83.44,11185,93.88,4.28,12.22,22.82,62.55,63.4
7/18/2023,197,11.48,3.94,750,14.21,3,500,2,950,1150,1050,1170,1300,1210,1210,1250,70.02,12195,93.03,5.31,12.27,23.84,62.31,63.22
7/20/2023,203,13.55,3.95,750,14.07,3,490,2.8,950,1050,1150,1170,1300,1210,1210,1250,80.29,12395,93.44,4.8,12.36,23.6,62.11,63.05
7/17/2023,200,11.22,4.01,750,15.11,3,496,2,950,1050,1170,1300,1210,1210,1210,1250,84.05,12475,93.91,4.56,12.44,24.02,62.38,63.27
7/19/2023,193,13.97,3.99,750,13.03,2.92,500,2.666666667,950,1050,1150,1170,1300,1210,1210,1250,71.51,12525,92.68,5.29,12.5,23.81,62.13,63.05
7/16/2023,201,13.41,4.02,750,13.65,2.98,500,2.6,950,1050,1130,1170,1300,1210,1210,1250,84.74,12675,93.86,4.51,12.17,23.91,62.21,63.21
7/21/2023,198,12.46,4,800,13.71,3.05,500,2.5,950,1150,1050,1170,1300,1210,1210,1250,78.98,13005,93.67,4.6,12.52,23.62,61.89,62.99
7/26/2023,199,13.55,3.97,750,14.63,3.01,483,2.833333333,930,1050,1150,1220,1280,1210,1210,1243.333333,83.75,11585,93.37,5.08,12.47,23.67,61.92,63.17
05-05-2023,182,13.51,5.72,200,11.99,3.06,505.6666667,3.2,900,1000,1180,1180,1260,1200,1200,1240,83.72,13105,93.37,4.76,12.38,24.25,62.88,63.51
7/25/2023,199,13.28,3.94,800,13.64,3,476.3333333,2.6,950,1050,1150,1170,1280,1210,1210,1230,86.59,12425,93.11,5.18,12.5,23.92,62.14,63.39
06-08-2023,185,14.24,5.94,375,17.35,2.7,640.5,3.1,920,1020,1120,1120,1160,1260,1200,1200,81.53,7235,92.51,5.52,12.34,24.16,62.4,63
08-12-2023,201,13.79,4.1,500,19.42,3.09,455,2.8,920,1020,1120,1230,1300,1200,1200,1200,82.95,10005,93.73,4.57,12.5,23.66,62.12,63.31
